bowler,bowling_style,batting_style,playing_role,balls_bowled,bowling_arm,bowling_type,bowling_detail
Nithish Kumar Reddy,Right arm Medium fast,Right hand Bat,Batting Allrounder,349,Right,Pace,Medium-fast
RG Sharma,Right arm Offbreak,Right hand Bat,Top order Batter,349,Right,Spin,Offbreak
KW Richardson,Right arm Fast medium,Right hand Bat,Bowler,345,Right,Pace,Fast-medium
R Parag,Legbreak,Right hand Bat,Top order Batter,334,Right,Spin,Legbreak
GD McGrath,Right arm Fast medium,Right hand Bat,Bowler,329,Right,Pace,Fast-medium
AC Thomas,Right arm Fast medium,Right hand Bat,Bowler,327,Right,Pace,Fast-medium
LR Shukla,Right arm Medium,Right hand Bat,Allrounder,326,Right,Pace,Medium
DJ Hussey,Right arm Offbreak,Right hand Bat,Allrounder,323,Right,Spin,Offbreak
LS Livingstone,Legbreak,Right hand Bat,Batting Allrounder,321,Right,Spin,Legbreak
KA Jamieson,Right arm Fast medium,Right hand Bat,Bowler,315,Right,Pace,Fast-medium
CJ Anderson,Left arm Medium fast,Left hand Bat,Batting Allrounder,315,Left,Pace,Medium-fast
A Mithun,Right arm Medium,Right hand Bat,Bowler,312,Right,Pace,Medium
Pankaj Singh,Right arm Medium fast,Right hand Bat,Bowler,311,Right,Pace,Medium-fast
AD Mascarenhas,Right arm Fast medium,Right hand Bat,Allrounder,310,Right,Pace,Fast-medium
D Wiese,Right arm Medium fast,Right hand Bat,Allrounder,307,Right,Pace,Medium-fast
SJ Srivastava,Left arm Fast medium,Right hand Bat,Bowler,306,Left,Pace,Fast-medium
BA Bhatt,Slow Left arm Orthodox,Left hand Bat,Bowler,303,Left,Spin,Left-arm orthodox
Akash Deep,Right arm Fast medium,Right hand Bat,Bowling Allrounder,302,Right,Pace,Fast-medium
V Nigam,Legbreak,Right-hand bat,,301,Right,Spin,Legbreak
ST Jayasuriya,Slow Left arm Orthodox,Left hand Bat,Allrounder,301,Left,Spin,Left-arm orthodox
Brijesh Sharma,Unknown,Unknown,Unknown,297,Unknown,Unknown,Unknown
Lalit Yadav,Right arm Offbreak,Right hand Bat,Allrounder,294,Right,Spin,Offbreak
G Coetzee,Right arm Fast,Right hand Bat,Bowler,292,Right,Pace,Fast
K Kartikeya,"Slow Left arm Orthodox, Left arm Wrist spin",Right hand Bat,Bowler,290,Left,Spin,Left-arm orthodox
WPUJC Vaas,Left arm Fast medium,Left hand Bat,Bowler,288,Left,Pace,Fast-medium
BCJ Cutting,Right arm Fast medium,Right hand Bat,Allrounder,288,Right,Pace,Fast-medium
SM Pollock,Right arm Fast medium,Right hand Bat,Allrounder,280,Right,Pace,Fast-medium
SC Ganguly,Right arm Medium,Left hand Bat,Batter,280,Right,Pace,Medium
R Rampaul,Right arm Fast medium,Left hand Bat,Bowler,278,Right,Pace,Fast-medium
TM Dilshan,Right arm Offbreak,Right hand Bat,Allrounder,275,Right,Spin,Offbreak
Sakib Hussain,Right arm Medium,Right hand Bat,,274,Right,Pace,Medium
Joginder Sharma,Right arm Fast medium,Right hand Bat,Allrounder,272,Right,Pace,Fast-medium
A Ashish Reddy,Right arm Medium,Right hand Bat,Allrounder,270,Right,Pace,Medium
XC Bartlett,Right arm Fast medium,Right hand Bat,Bowler,269,Right,Pace,Fast-medium
AG Murtaza,Slow Left arm Orthodox,Left hand Bat,Bowler,269,Left,Spin,Left-arm orthodox
Fazalhaq Farooqi,Left arm Fast medium,Right hand Bat,Bowler,266,Left,Pace,Fast-medium
CR Brathwaite,Right arm Fast medium,Right hand Bat,Allrounder,266,Right,Pace,Fast-medium
Sohail Tanvir,Left arm Medium fast,Left hand Bat,Bowler,265,Left,Pace,Medium-fast
V Kohli,Right arm Medium,Right hand Bat,Top order Batter,264,Right,Pace,Medium
S Badree,Legbreak,Right hand Bat,Bowler,263,Right,Spin,Legbreak
V Shankar,Right arm Medium,Right hand Bat,Allrounder,258,Right,Pace,Medium
Simarjeet Singh,Right arm Medium fast,Right hand Bat,Bowler,256,Right,Pace,Medium-fast
Akash Singh,Left arm Medium fast,Right hand Bat,Bowler,256,Left,Pace,Medium-fast
AA Chavan,Slow Left arm Orthodox,Left hand Bat,Batter,255,Left,Spin,Left-arm orthodox
KR Sen,Right arm Fast,Right hand Bat,Bowler,255,Right,Pace,Fast
TK Curran,Right arm Fast medium,Right hand Bat,Bowling Allrounder,252,Right,Pace,Fast-medium
CRD Fernando,Right arm Fast medium,Right hand Bat,Bowler,249,Right,Pace,Fast-medium
BAW Mendis,Right arm Offbreak,Right hand Bat,Bowler,248,Right,Spin,Offbreak
DJG Sammy,Right arm Medium,Right hand Bat,Allrounder,244,Right,Pace,Medium
JDP Oram,Right arm Fast medium,Left hand Bat,Allrounder,244,Right,Pace,Fast-medium
SH Johnson,Left arm Fast medium,Left hand Bat,Bowler,243,Left,Pace,Fast-medium
JD Ryder,Right arm Medium,Left hand Bat,Allrounder,241,Right,Pace,Medium
Shivang Kumar,Unknown,Unknown,Unknown,240,Unknown,Unknown,Unknown
AM Nayar,Right arm Medium,Left hand Bat,Allrounder,239,Right,Pace,Medium
BJ Hodge,Right arm Offbreak,Right hand Bat,Top order Batter,238,Right,Spin,Offbreak
AF Milne,Right arm Fast,Right hand Bat,Bowler,238,Right,Pace,Fast
AM Ghazanfar,Right-arm offbreak,Right-hand bat,,237,Right,Spin,Offbreak
J Little,Left arm Fast medium,Right hand Bat,Bowler,236,Left,Pace,Fast-medium
J Theron,Right arm Medium fast,Right hand Bat,Bowler,235,Right,Pace,Medium-fast
A Chandila,Right arm Offbreak,Right hand Bat,Allrounder,234,Right,Spin,Offbreak
MP Yadav,Right arm Medium fast,Right hand Bat,Bowler,230,Right,Pace,Medium-fast
AK Markram,Right arm Offbreak,Right hand Bat,Opening Batter,230,Right,Spin,Offbreak
C de Grandhomme,Right arm Medium fast,Right hand Bat,Allrounder,230,Right,Pace,Medium-fast
KC Cariappa,Legbreak,Right hand Bat,Bowler,224,Right,Spin,Legbreak
N Rana,"Right arm Medium, Right arm Offbreak",Left hand Bat,Middle order Batter,223,Right,Pace,Medium
JDS Neesham,Right arm Medium fast,Left hand Bat,Batting Allrounder,222,Right,Pace,Medium-fast
SB Styris,Right arm Medium,Right hand Bat,Allrounder,222,Right,Pace,Medium
JL Pattinson,Right arm Fast medium,Left hand Bat,Bowler,222,Right,Pace,Fast-medium
YA Abdulla,Left arm Fast medium,Left hand Bat,Bowler,222,Left,Pace,Fast-medium
KP Appanna,Slow Left arm Orthodox,Right hand Bat,,222,Left,Spin,Left-arm orthodox
Y Venugopal Rao,Right arm Offbreak,Right hand Bat,Middle order Batter,222,Right,Spin,Offbreak
DJ Willey,Left arm Fast medium,Left hand Bat,Bowling Allrounder,221,Left,Pace,Fast-medium
S Tyagi,Right arm Medium,Right hand Bat,Bowler,220,Right,Pace,Medium
MN Samuels,Right arm Offbreak,Right hand Bat,Top order Batter,219,Right,Spin,Offbreak
TS Mills,Left arm Fast,Right hand Bat,Bowler,218,Left,Pace,Fast
J Overton,Right arm Fast,Right hand Bat,Bowling Allrounder,217,Right,Pace,Fast
RS Bopara,Right arm Medium,Right hand Bat,Batting Allrounder,213,Right,Pace,Medium
M Ntini,Right arm Fast,Right hand Bat,Bowler,213,Right,Pace,Fast
HR Shokeen,Right arm Offbreak,Right hand Bat,Bowler,213,Right,Spin,Offbreak
Karanveer Singh,Legbreak Googly,Right hand Bat,,213,Right,Spin,Legbreak
VS Malik,Right arm Medium,Right hand Bat,Bowler,212,Right,Pace,Medium
S Lamichhane,Legbreak Googly,Right hand Bat,Bowler,211,Right,Spin,Legbreak
V Pratap Singh,Right arm Medium,Right hand Bat,,211,Right,Pace,Medium
S Kaushik,Left arm Wrist spin,Right hand Bat,Bowler,210,Left,Spin,Left-arm wrist spin
Zeeshan Ansari,Legbreak Googly,Right hand Bat,,209,Right,Spin,Legbreak
WG Jacks,Right arm Offbreak,Right hand Bat,Batter,203,Right,Spin,Offbreak
Parvez Rasool,Right arm Offbreak,Right hand Bat,Bowling Allrounder,200,Right,Spin,Offbreak
Harsh Dubey,Slow Left arm Orthodox,Left hand Bat,,200,Left,Spin,Left-arm orthodox
Mohammad Asif,Right arm Fast medium,Left hand Bat,Bowler,199,Right,Pace,Fast-medium
N Thushara,Right arm Medium fast,Right hand Bat,Bowler,198,Right,Pace,Medium-fast
J Syed Mohammad,Slow Left arm Orthodox,Left hand Bat,Bowler,196,Left,Spin,Left-arm orthodox
Ashwani Kumar,Left arm Medium,Left hand Bat,,196,Left,Pace,Medium
SMSM Senanayake,Right arm Offbreak,Right hand Bat,Bowler,195,Right,Spin,Offbreak
M Siddharth,Slow Left arm Orthodox,Right hand Bat,Bowler,193,Left,Spin,Left-arm orthodox
B Akhil,Right arm Medium fast,Right hand Bat,Bowler,193,Right,Pace,Medium-fast
SE Bond,Right arm Fast,Right hand Bat,Bowler,191,Right,Pace,Fast
AB McDonald,Right arm Fast medium,Right hand Bat,Allrounder,188,Right,Pace,Fast-medium
Yash Raj Punja,Unknown,Unknown,Unknown,186,Unknown,Unknown,Unknown
KL Nagarkoti,Right arm Fast,Right hand Bat,Bowler,185,Right,Pace,Fast
Shahid Afridi,Legbreak Googly,Right hand Bat,Allrounder,185,Right,Spin,Legbreak
IS Sodhi,Legbreak,Right hand Bat,Bowler,182,Right,Spin,Legbreak
I Udana,Left arm Medium fast,Right hand Bat,Allrounder,182,Left,Pace,Medium-fast
KP Pietersen,Right arm Offbreak,Right hand Bat,Top order Batter,180,Right,Spin,Offbreak
KMA Paul,Right arm Fast medium,Right hand Bat,Allrounder,180,Right,Pace,Fast-medium
S Randiv,Right arm Offbreak,Right hand Bat,Bowler,180,Right,Spin,Offbreak
OC McCoy,Left arm Fast medium,Left hand Bat,Bowler,180,Left,Pace,Fast-medium
B Laughlin,Right arm Fast medium,Right hand Bat,Bowler,179,Right,Pace,Fast-medium
Kamran Khan,Left arm Medium fast,Left hand Bat,Bowler,177,Left,Pace,Medium-fast
S Sandeep Warrier,Right arm Medium,Right hand Bat,Bowler,176,Right,Pace,Medium
AJ Hosein,Slow Left arm Orthodox,Left hand Bat,Bowler,175,Left,Spin,Left-arm orthodox
C Bosch,Right arm Fast medium,Right hand Bat,Allrounder,171,Right,Pace,Fast-medium
HF Gurney,Left arm Fast medium,Right hand Bat,Bowler,169,Left,Pace,Fast-medium
PP Hinge,Unknown,Unknown,Unknown,168,Unknown,Unknown,Unknown
MJ Henry,Right arm Fast medium,Right hand Bat,Bowler,166,Right,Pace,Fast-medium
D Pretorius,Right arm Medium fast,Right hand Bat,Bowling Allrounder,166,Right,Pace,Medium-fast
CK Langeveldt,Right arm Fast medium,Right hand Bat,Bowler,165,Right,Pace,Fast-medium
Swapnil Singh,Slow Left arm Orthodox,Right hand Bat,Bowler,165,Left,Spin,Left-arm orthodox
K Khejroliya,Left arm Medium fast,Left hand Bat,Bowler,163,Left,Pace,Medium-fast
S Dube,Right arm Medium,Left hand Bat,Allrounder,162,Right,Pace,Medium
Anand Rajan,Right arm Medium,Right hand Bat,Bowler,162,Right,Pace,Medium
Gurjapneet Singh,Unknown,Unknown,Unknown,159,Unknown,Unknown,Unknown
P Parameswaran,Left arm Medium,Right hand Bat,,159,Left,Pace,Medium
DP Vijaykumar,Right arm Medium,Right hand Bat,,159,Right,Pace,Medium
BE Hendricks,Left arm Fast medium,Left hand Bat,Bowler,157,Left,Pace,Fast-medium
AM Salvi,Right arm Medium,Right hand Bat,Bowler,156,Right,Pace,Medium
JA Duffy,Right arm Fast medium,Right hand Bat,Bowler,156,Right,Pace,Fast-medium
JEC Franklin,Left arm Medium,Left hand Bat,Allrounder,155,Left,Pace,Medium
LE Plunkett,Right arm Fast,Right hand Bat,Bowler,154,Right,Pace,Fast
PC Valthaty,Right arm Medium,Right hand Bat,Batter,153,Right,Pace,Medium
Umar Gul,Right arm Fast medium,Right hand Bat,Bowler,153,Right,Pace,Fast-medium
SB Bangar,Right arm Medium fast,Right hand Bat,,153,Right,Pace,Medium-fast
TL Suman,Right arm Offbreak,Right hand Bat,Batter,152,Right,Spin,Offbreak
FH Edwards,Right arm Fast,Right hand Bat,Bowler,150,Right,Pace,Fast
B Stanlake,Right arm Fast,Left hand Bat,Bowler,150,Right,Pace,Fast
GC Viljoen,Right arm Fast,Right hand Bat,Bowler,146,Right,Pace,Fast
Yudhvir Singh,Right arm Medium fast,Right hand Bat,Bowler,145,Right,Pace,Medium-fast
RR Raje,Right arm Fast medium,Right hand Bat,,144,Right,Pace,Fast-medium
T Thushara,Left arm Fast medium,Left hand Bat,Bowler,144,Left,Pace,Fast-medium
R Sathish,Right arm Medium,Right hand Bat,Allrounder,144,Right,Pace,Medium
KM Asif,Right arm Medium,Right hand Bat,Bowler,143,Right,Pace,Medium
S Ladda,Legbreak,Right hand Bat,Bowler,141,Right,Spin,Legbreak
Mayank Dagar,Slow Left arm Orthodox,Right hand Bat,Bowler,138,Left,Spin,Left-arm orthodox
V Sehwag,Right arm Offbreak,Right hand Bat,Top order Batter,138,Right,Spin,Offbreak
Ashok Sharma,Unknown,Unknown,Unknown,136,Unknown,Unknown,Unknown
P Amarnath,Right arm Medium,Right hand Bat,,132,Right,Pace,Medium
SS Cottrell,Left arm Fast medium,Right hand Bat,Bowler,131,Left,Pace,Fast-medium
R Shukla,Right arm Medium,Right hand Bat,Bowler,130,Right,Pace,Medium
MA Wood,Right arm Fast,Right hand Bat,Bowler,127,Right,Pace,Fast
RJW Topley,Left arm Fast medium,Right hand Bat,Bowler,125,Left,Pace,Fast-medium
JE Taylor,Right arm Fast,Right hand Bat,Bowler,122,Right,Pace,Fast
T Shamsi,Left arm Wrist spin,Right hand Bat,Bowler,120,Left,Spin,Left-arm wrist spin
M de Lange,Right arm Fast,Right hand Bat,Bowler,116,Right,Pace,Fast
Shivam Sharma,Right arm Offbreak,Right hand Bat,,114,Right,Spin,Offbreak
S Narwal,Right arm Medium,Left hand Bat,Allrounder,113,Right,Pace,Medium
AL Menaria,Slow Left arm Orthodox,Left hand Bat,Allrounder,113,Left,Spin,Left-arm orthodox
Ankit Soni,Legbreak,Right hand Bat,Allrounder,112,Right,Spin,Legbreak
Jaskaran Singh,Right arm Medium,Right hand Bat,Bowler,111,Right,Pace,Medium
A Choudhary,Left arm Medium,Right hand Bat,Bowler,108,Left,Pace,Medium
SB Wagh,Left arm Medium fast,Left hand Bat,Allrounder,108,Left,Pace,Medium-fast
P Sahu,Legbreak Googly,Right hand Bat,Allrounder,107,Right,Spin,Legbreak
P Suyal,Left arm Medium,Right hand Bat,Bowler,107,Left,Pace,Medium
Arjun Tendulkar,Left arm Medium fast,Left hand Bat,Bowler,107,Left,Pace,Medium-fast
KMDN Kulasekara,Right arm Fast medium,Right hand Bat,Bowler,107,Right,Pace,Fast-medium
Shoaib Ahmed,Right arm Fast medium,Right hand Bat,,103,Right,Pace,Fast-medium
KJ Abbott,Right arm Fast medium,Right hand Bat,Bowler,102,Right,Pace,Fast-medium
GHS Garton,Left arm Fast,Left hand Bat,Bowling Allrounder,97,Left,Pace,Fast
RV Gomez,Right arm Medium,Right hand Bat,Allrounder,97,Right,Pace,Medium
OF Smith,Right arm Fast medium,Right hand Bat,Bowling Allrounder,95,Right,Pace,Fast-medium
MK Lomror,Slow Left arm Orthodox,Left hand Bat,Allrounder,94,Left,Spin,Left-arm orthodox
JA Richardson,Right arm Fast,Right hand Bat,Bowler,94,Right,Pace,Fast
Shashank Singh,"Right arm Medium, Right arm Offbreak",Right hand Bat,Batting Allrounder,93,Right,Pace,Medium
FA Allen,Slow Left arm Orthodox,Right hand Bat,Bowling Allrounder,91,Left,Spin,Left-arm orthodox
PD Collingwood,Right arm Medium,Right hand Bat,Allrounder,90,Right,Pace,Medium
Raghu Sharma,Legbreak Googly,Right hand Bat,,90,Right,Spin,Legbreak
DG Nalkande,Right arm Fast medium,Right hand Bat,Bowler,89,Right,Pace,Fast-medium
Sikandar Raza,Right arm Offbreak,Right hand Bat,Batting Allrounder,88,Right,Spin,Offbreak
AA Jhunjhunwala,Right arm Offbreak,Right hand Bat,Batter,88,Right,Spin,Offbreak
SR Dubey,Unknown,Unknown,Unknown,87,Unknown,Unknown,Unknown
Auqib Nabi,Right arm Medium,Right hand Bat,,84,Right,Pace,Medium
VR Iyer,Right arm Medium,Left hand Bat,Allrounder,84,Right,Pace,Medium
Gagandeep Singh,Right arm Medium fast,Right hand Bat,,84,Right,Pace,Medium-fast
DJ Muthuswami,Right arm Medium,Right hand Bat,,84,Right,Pace,Medium
RN ten Doeschate,Right arm Medium fast,Right hand Bat,Allrounder,83,Right,Pace,Medium-fast
Gurkeerat Singh,Right arm Offbreak,Right hand Bat,Middle order Batter,82,Right,Spin,Offbreak
P Dubey,Legbreak Googly,Right hand Bat,Bowler,79,Right,Spin,Legbreak
JJ van der Wath,Right arm Medium fast,Right hand Bat,Allrounder,76,Right,Pace,Medium-fast
WA Mota,Right arm Medium,Right hand Bat,,75,Right,Pace,Medium
LJ Wright,Right arm Medium,Right hand Bat,Top order Batter,75,Right,Pace,Medium
M Tiwari,Unknown,Unknown,Unknown,75,Unknown,Unknown,Unknown
TP Sudhindra,Right arm Fast,Left hand Bat,,74,Right,Pace,Fast
RJ Gleeson,Right arm Fast medium,Right hand Bat,Bowler,73,Right,Pace,Fast-medium
V Puthur,Unknown,Unknown,Unknown,73,Unknown,Unknown,Unknown
AP Dole,Right arm Medium fast,Right hand Bat,Bowler,73,Right,Pace,Medium-fast
Y Nagar,Right arm Offbreak,Right hand Bat,Allrounder,72,Right,Spin,Offbreak
KT Maphaka,Left-arm fast,Left-hand bat,,71,Left,Pace,Fast
DNT Zoysa,Left arm Fast medium,Left hand Bat,Bowler,69,Left,Pace,Fast-medium
SM Harwood,Right arm Fast medium,Right hand Bat,Bowler,67,Right,Pace,Fast-medium
K Goel,Right arm Offbreak,Left hand Bat,Opening Batter,67,Right,Spin,Offbreak
Ramandeep Singh,Right arm Medium,Right hand Bat,Middle order Batter,66,Right,Pace,Medium
MG Bracewell,Right arm Offbreak,Left hand Bat,Batting Allrounder,66,Right,Spin,Offbreak
A Flintoff,Right arm Fast medium,Right hand Bat,Allrounder,66,Right,Pace,Fast-medium
MJ Clarke,Slow Left arm Orthodox,Right hand Bat,Middle order Batter,66,Left,Spin,Left-arm orthodox
W O'Rourke,Right arm Fast medium,Right hand Bat,,64,Right,Pace,Fast-medium
TM Head,Right arm Offbreak,Left hand Bat,Middle order Batter,64,Right,Spin,Offbreak
O Thomas,Right arm Fast,Left hand Bat,Bowler,63,Right,Pace,Fast
Mohammad Hafeez,Right arm Offbreak,Right hand Bat,Allrounder,63,Right,Spin,Offbreak
JW Hastings,Right arm Fast medium,Right hand Bat,Allrounder,61,Right,Pace,Fast-medium
Abhinandan Singh,Unknown,Unknown,Unknown,60,Unknown,Unknown,Unknown
AU Rashid,Legbreak,Right hand Bat,Bowler,60,Right,Spin,Legbreak
V Viyaskanth,Legbreak,Right hand Bat,Bowler,60,Right,Spin,Legbreak
SA Abbott,Right arm Fast medium,Right hand Bat,Allrounder,59,Right,Pace,Fast-medium
Abdul Samad,Legbreak,Right hand Bat,Batter,58,Right,Spin,Legbreak
Shoaib Malik,Right arm Offbreak,Right hand Bat,Allrounder,58,Right,Spin,Offbreak
ND Doshi,Slow Left arm Orthodox,Right hand Bat,Bowler,57,Left,Spin,Left-arm orthodox
K Upadhyay,Right arm Medium,Right hand Bat,,56,Right,Pace,Medium
AC Voges,Slow Left arm Orthodox,Right hand Bat,Top order Batter,56,Left,Spin,Left-arm orthodox
SB Joshi,Slow Left arm Orthodox,Left hand Bat,Allrounder,55,Left,Spin,Left-arm orthodox
K Yadav,Left arm Fast medium,Left hand Bat,Bowler,54,Left,Pace,Fast-medium
Naman Dhir,Right-arm offbreak,Right-hand bat,,53,Right,Spin,Offbreak
KAJ Roach,Right arm Fast medium,Right hand Bat,Bowler,52,Right,Pace,Fast-medium
DJ Mitchell,Right arm Medium,Right hand Bat,Allrounder,51,Right,Pace,Medium
K Santokie,Left arm Medium,Left hand Bat,Bowler,51,Left,Pace,Medium
D Salunkhe,Legbreak,Right hand Bat,Bowler,51,Right,Spin,Legbreak
C Nanda,Legbreak,Right hand Bat,,50,Right,Spin,Legbreak
SC Kuggeleijn,Right arm Fast medium,Right hand Bat,Bowling Allrounder,50,Right,Pace,Fast-medium
D Kalyankrishna,Right arm Medium fast,Right hand Bat,,50,Right,Pace,Medium-fast
MJ Suthar,Slow Left arm Orthodox,Left hand Bat,,50,Left,Spin,Left-arm orthodox
S Dhawan,Right arm Offbreak,Left hand Bat,Opening Batter,49,Right,Spin,Offbreak
B Geeves,Right arm Fast medium,Right hand Bat,Bowler,49,Right,Pace,Fast-medium
RJ Peterson,Slow Left arm Orthodox,Left hand Bat,Bowler,48,Left,Spin,Left-arm orthodox
GS Sandhu,Right arm Fast medium,Left hand Bat,Bowler,48,Right,Pace,Fast-medium
JM Kemp,Right arm Fast medium,Right hand Bat,Bowling Allrounder,47,Right,Pace,Fast-medium
SS Mishra,Unknown,Unknown,Unknown,47,Unknown,Unknown,Unknown
CL White,Legbreak Googly,Right hand Bat,Middle order Batter,46,Right,Spin,Legbreak
SE Rutherford,Right arm Fast medium,Left hand Bat,Middle order Batter,46,Right,Pace,Fast-medium
KR Mayers,Right arm Medium,Left hand Bat,Batting Allrounder,46,Right,Pace,Medium
